"IDRSSD","CERT","CB","CHARTER_TYPE","SDI_BK_CLASS_DESC","SDI_REGAGNT_DESC","INST_NAME","INST_STATE","OCC_ID","OTS_ID","TOTAL_BNK_EQUITY_CAPITAL","TOTAL_ASSETS","TOTAL_ASSETS_RCON2170","OTHR_INTANGIBLES","GOODWILL","NET_DEF_TAX_ASST","TIER1LEVERAGE","STATE_DESC","ADJ_TOTAL_BNK_EQ_CAP","ADJ_TOTAL_ASSETS","SIMPLE_LEVERAGE_RATIO"
874452,9735,1,"State-Chartered","NM","FDIC","STATE BANK OF NEW RICHLAND","MN",0,0,9441,99965,101967,0,0,0,0.0861,"Minnesota",9441,99965,0.0944430550692742459860951332966538288401
393850,10179,1,"State-Chartered","NM","FDIC","NORTH AMERICAN STATE BANK","MN",0,0,11278,99951,101163,0,0,0,0.1119,"Minnesota",11278,99951,0.1128352892917529589498854438674950725856
83151,8188,1,"State-Chartered","NM","FDIC","FLAGSHIP BANK MINNESOTA","MN",0,0,13279,98353,100903,0,0,4297,0.1024,"Minnesota",8982,94056,0.0954963000765501403419239601939270221995
773171,30943,1,"National Charter","SA","OCC","MID-CENTRAL FEDERAL SAVINGS BANK","MN",706149,6149,9066,98888,100688,176,0,0,0.0917,"Minnesota",8890,98712,0.0900599724450927952022043925763838236486
311256,5116,1,"State-Chartered","NM","FDIC","GRANITE COMMUNITY BANK","MN",0,0,8503,102095,99595,149,0,0,0.0823,"Minnesota",8354,101946,0.0819453436132854648539422831695211190238
3596250,58602,1,"State-Chartered","NM","FDIC","RELIANCE BANK","MN",0,0,10385,95379,99428,0,0,0,0.1076,"Minnesota",10385,95379,0.1088814099539730968032795479088688285681
2900092,35524,1,"State-Chartered","NM","FDIC","COMMUNITY PRIDE BANK","MN",0,0,12862,100233,98906,1066,519,0,0.1202,"Minnesota",11277,98648,0.1143155461844132673749087665233963182224
165758,1931,1,"State-Chartered","NM","FDIC","NEW MARKET BANK","MN",0,0,8007,99020,98482,0,0,114,0.0808,"Minnesota",7893,98906,0.0798030453157543526176369482134551998868
22552,10576,1,"State-Chartered","NM","FDIC","FIRST SOUTHEAST BANK","MN",0,0,8814,97660,98430,0,0,0,0.0898,"Minnesota",8814,97660,0.0902518943272578332992013106696702846611
3229642,57695,1,"National Charter","SA","OCC","AMERICAN INVESTORS BANK AND MORTGAGE","MN",717958,17958,7524,96633,96124,0,0,204,0.0806,"Minnesota",7320,96429,0.0759107737298945338020719907911520393243
769156,8831,1,"State-Chartered","NM","FDIC","FIRST STATE BANK OF SAUK CENTRE","MN",0,0,12375,95203,95871,470,1285,0,0.1168,"Minnesota",10620,93448,0.11364609194418286105641640270524783837
989851,9332,1,"State-Chartered","NM","FDIC","BANK OF MAPLE PLAIN","MN",0,0,10121,90535,94499,0,0,0,0.109,"Minnesota",10121,90535,0.111791020047495443751035511128292925388
267652,16656,1,"State-Chartered","NM","FDIC","SECURITY STATE BANK OF AITKIN","MN",0,0,10271,94995,94361,0,0,0,0.1087,"Minnesota",10271,94995,0.1081214800778988367808832043791778514659
93758,5190,1,"National Charter","N","OCC","FIRST NATIONAL BANK MAHNOMEN TWIN VALLEY","MN",12941,0,8545,95809,94014,0,0,10,0.0891,"Minnesota",8535,95799,0.0890927880249271913067986095888266057057
